mesto,ocena,ime,kategorija,objave,vpisani,ogledi
122,A+,LooLoo Kids - Nursery Rhymes and C…,music,421,20.0,8142818359
123,A,Ultra Music,music,3865,20.0,11376046094
124,A-,Kimberly Loaiza,people,100,20.0,1337229719
125,A,Bad Bunny,music,33,19.9,5640685318
126,A-,Logan Paul Vlogs,entertainment,646,19.9,4705301793
127,B,Nicki Minaj,music,20,19.8,91706211
128,A+,Ch3Thailand,entertainment,65430,19.7,14117671380
129,B+,The Chainsmokers,music,189,19.7,794632503
130,A,FBE,entertainment,2113,19.7,8441050503
131,A,Collins Key,entertainment,240,19.7,4056065307
132,A-,Jake Paul,people,829,19.7,6203209836
133,B,Beyoncé,music,222,19.6,833466384
134,A,Atta Halilintar,entertainment,632,19.6,1785319513
135,A,BuzzFeedVideo,people,6422,19.5,15988663230
136,A-,Wiz Khalifa,music,474,19.5,9206340441
137,A,NickyJamTV,music,228,19.5,12318245052
138,A,Shemaroo,entertainment,6826,19.5,9697825825
139,A+,one31,news,74941,19.4,14626369001
140,A,T-Series Apna Punjab,music,4404,19.3,9704587732
141,B,Drake,music,48,19.2,331854812
142,A,shakiraVEVO,music,144,19.1,16789468365
143,A,Galinha Pintadinha,film,50,19.1,13266524562
144,B+,CanalCanalha,comedy,222,19.0,1384567261
145,A,Ultra Bollywood,entertainment,10394,19.0,10626793920
146,A-,Skrillex,music,168,19.0,5220790622
147,B,Vevo,music,1556,18.9,558696339
148,A-,AuronPlay,comedy,394,18.7,2425371334
149,A,ArianaGrandeVevo,music,110,18.6,12997838369
150,A+,Super Simple Songs - Kids Songs,education,473,18.5,16291257217
151,B+,Enrique Iglesias,music,389,18.3,794475337
152,A,1MILLION Dance Studio,entertainment,1716,18.2,4336904687
153,A,Gaane Sune Ansune,music,2226,18.1,7509966738
154,A,LuisFonsiVEVO,music,68,18.0,11485846509
155,A-,DrossRotzank,entertainment,1276,18.0,4008209010
156,A,1theK (원더케이),music,16361,17.9,14716625618
157,B-,ChrisBrownTV,music,18,17.8,33491877
158,A,AuthenticGames,games,3786,17.7,7273442020
159,A,Lucas and Marcus,entertainment,512,17.7,4390736117
160,A,Liza Koshy,comedy,166,17.7,2289413017
161,A,The ACE Family,people,472,17.6,3178973646
162,A,Venus,music,4166,17.6,6656074191
163,A,Infobells - Hindi,education,285,17.6,8692070304
164,A,Ricis Official,entertainment,719,17.4,2115049224
165,A,La Granja de Zenón,music,198,17.3,8651190497
166,A,SSSniperWolf,people,2137,17.2,4342444970
167,B+,Juan De Dios Pantoja,people,180,17.2,1332398762
168,A,Las Ratitas,people,151,17.2,5425370525
169,A-,PTXofficial,music,203,17.2,4112661325
170,D-,Amit Bhadana,entertainment,64,17.0,1268368226
171,A,GMM GRAMMY OFFICIAL,music,7030,17.0,16545210543
172,B,Calvin Harris,music,70,16.9,138928993
173,A-,PopularMMOs,games,4530,16.9,13416920840
174,A,ABP NEWS,news,131685,16.9,4146718113
175,B,DJ Snake,music,152,16.9,82765341
176,A,Rajshri,entertainment,5607,16.8,8847964114
177,B-,Avicii,music,121,16.7,38301668
178,A-,5-Minute Crafts GIRLY,howto,1925,16.6,2926782360
179,A-,Ali-A,games,3296,16.5,4770968936
180,A,Tasty,people,3421,16.5,3508262972
181,B+,Werevertumorro,entertainment,1045,16.5,2664987112
182,A,Mr Bean,comedy,1682,16.4,5431061427
183,A-,jeffreestar,howto,357,16.3,1948621430
184,A+,Toys and Colors,education,332,16.2,10606893310
185,A,DisneyMusicVEVO,music,985,16.2,9937156725
186,A-,Lil pump,music,42,16.2,3252326445
187,B+,The Weeknd,music,66,16.2,849954354
188,A,Porta dos Fundos,entertainment,1234,16.2,5299162864
189,A-,James Charles,entertainment,238,16.2,1763062788
190,B,Sia,music,62,16.1,222966669
191,A-,TheWillyrex,games,5613,16.0,5707680680
192,A,Good Mythical Morning,entertainment,2343,15.9,5857779008
193,A,Erlania e Valentina Pontes,film,717,15.9,4449123687
194,A,Geet MP3,,258,16.0,4290424409
195,B,Caeli,entertainment,516,15.9,1452818322
196,A-,AdeleVEVO,music,31,15.8,8461956202
197,A-,Charlie Puth,music,85,15.7,6051195504
198,A-,Post Malone,music,30,15.7,1381266082
199,A,Troom Troom,howto,1052,15.7,5248951005
200,B,Demi Lovato,entertainment,189,15.6,399543839
201,A,Unbox Therapy,tech,1695,15.6,3259393240
202,A,5-Minute Crafts KIDS,howto,2158,15.6,3194383566
203,A,Totoykids,film,770,15.5,6965851081
204,A,IndiaTV,news,142573,15.5,5402333029
205,A,Jimmy Kimmel Live,entertainment,4357,15.4,8631295278
206,A+,netd müzik,music,11228,15.4,32205334570
207,A-,Roman Atwood Vlogs,people,1644,15.4,5146730563
208,A,Coldplay,music,212,15.3,9424020403
209,A,Maroon5VEVO,music,117,15.3,13749038343
210,A,Lele Pons,comedy,130,15.3,3276051667
211,A-,SelenaGomezVEVO,music,128,15.2,7562543276
212,A-,TED,tech,3147,15.3,1610213507
213,A,Renato Garcia,entertainment,1946,15.2,2237203426
214,A-,BB Ki Vines,entertainment,149,15.2,2045938484
215,A,قناة طيور الجنة | toy…,music,2505,15.1,12675467966
216,A,SlivkiShow,entertainment,293,15.1,2727769915
217,A-,Doggy Doggy Cartoons,entertainment,2092,15.1,5482811739
218,D,Michael Jackson,music,1,15.1,262345
219,A-,Goldmines,film,337,15.1,3198765803
220,A-,Cia. Daniel Saboya,music,895,15.0,4398528312
221,A-,Brave Wilderness,animals,553,14.9,2868868934
222,A-,Vsauce,entertainment,366,14.9,1695551976
223,A-,Willyrex,games,5094,14.9,3851344726
224,B+,JukiLop,,80,14.9,1027059102
225,A,Linkin Park,music,492,14.9,7580406107
226,B+,IISuperwomanII,comedy,780,14.9,3171458915
227,B-,Becky G,music,56,14.8,35745753
228,A,Like Nastya,entertainment,237,14.8,4693611938
229,A,Miss Katy,people,674,14.8,7458771396
230,A-,ashish chanchlani vines,comedy,132,14.7,1483072811
231,A-,FailArmy,comedy,265,14.7,1136589562
232,A,MalumaVEVO,music,111,14.7,12618866585
233,B,Lady Gaga,music,163,14.7,115956458
234,B+,W2S,games,650,14.7,4219635886
235,B+,Clash of Clans,games,346,14.7,2064493425
236,A,Mister Max,entertainment,750,14.6,7823258433
237,A,Jelly,games,3736,14.6,6421647449
238,B+,EeOneGuy,entertainment,315,14.6,3405146805
239,A-,ERB,entertainment,78,14.6,3298334941
240,A-,Canal IN,,326,14.5,1699429524
241,A,Guava Juice,entertainment,1399,14.5,6310604383
242,A,Anuel AA,music,28,14.5,1404714684
243,A-,Technical Guruji,tech,2621,14.5,1475525037
244,A,toycantando,music,348,14.4,7023198204
245,A-,Rclbeauty101,comedy,423,14.4,3497406935
246,B+,DLS News,,2660,14.4,1223446688
247,A,David Dobrik,people,607,14.2,6017860724
249,A,jypentertainment,music,1020,14.2,7541115919
250,A,Paulo Londra,music,41,14.2,3372474553
251,A,RsiamMusic : อาร์สยา…,music,1981,14.2,8843788546
252,B,Romeo Santos,music,14,14.2,344908020
253,A,Funny Stacy,,176,14.2,4512759034
254,A-,ExtraPolinesios,people,386,14.1,3497856661
255,A,Britain's Got Talent,entertainment,2581,14.1,8180860449
256,A,Marília Mendonça,music,86,14.1,8684081941
257,A,Movieclips Trailers,film,8136,14.1,11018161524
258,A,Toys And Little Gaby,entertainment,283,14.1,5696725042
259,A,Kids TV - Nursery Rhymes And Baby …,education,2530,14.0,5699230055
260,A-,Boram Tube ToysReview [보람튜�…,people,230,14.0,4357063713
261,B+,Wengie,howto,266,13.9,1553861060
262,A,Reaction Time,entertainment,1578,13.9,4276314593
263,A-,HowToBasic,howto,504,13.8,2307408677
264,A,mmoshaya,people,877,13.8,7659471689
265,A-,JFlaMusic,music,240,13.7,2484117872
266,A,jbalvinVEVO,music,155,13.7,12628112870
267,A,CKN Toys,entertainment,593,13.7,12413571710
268,A,SQUEEZIE,comedy,1337,13.7,6799512135
269,A-,America's Got Talent,entertainment,2215,13.7,3103795340
270,A-,TheRichest,entertainment,2384,13.6,5119093600
271,B+,CollegeHumor,comedy,3518,13.5,7131729259
272,A-,EnriqueIglesiasVEVO,music,126,13.5,12175141943
273,B+,Musas,howto,526,13.5,1789954921
274,A-,FaZe Rug,games,1507,13.5,2756539045
275,A,BeyoncéVEVO,music,141,13.4,10194496505
276,A-,Noor Stars,entertainment,463,13.4,1598614335
277,A-,Cyprien,comedy,165,13.3,2365842884
278,B+,Marvel Entertainment,entertainment,6442,13.3,3052773951
279,A,Maria Clara &amp; JP,people,453,13.2,4618747894
280,B+,Miley Cyrus,entertainment,77,13.2,360325250
